marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Peugeot;3008;15990;2019;66203;essence;1308;38360
Mercedes-Benz;GLC Coupé;48490;2021;58449;Diesel;3004;54520
Dacia;Spring;24190;2021;101309;essence;2020;Super affaire
Renault;Arkana;17690;2021;70343;hybride;1314022;77186
Renault;Arkana;23990;2021;111269;Diesel;14022;44800
Peugeot;3008;23990;2021;65390;Diesel;151308;68110
Renault;Arkana;18980;2018;61814;essence;140;21000
Volkswagen;Polo;21900;2017;126326;essence;10957;83300
Peugeot;308;8990;2020;59609;Diesel;3082258;10600
Mercedes-Benz;GLA;23690;2024;4946;essence;25047;36000
Dacia;Spring;16590;2020;33000;essence;;Super affaire
Peugeot;3008;12990;2019;52159;essence;30081308;13120
Peugeot;3008;23990;2021;65390;Diesel;151308;68110
Renault;Arkana;18980;2018;61814;essence;140;21000
Volkswagen;Polo;21900;2017;126326;essence;10957;83300
Peugeot;308;8990;2020;59609;Diesel;3082258;10600
Mercedes-Benz;GLA;23690;2024;4946;essence;25047;36000
Dacia;Spring;16590;2020;33000;essence;;Super affaire
Peugeot;3008;12990;2019;52159;essence;30081308;13120
Renault;Megane;23990;2024;16875;Diesel;115;83600
BMW;X1;18790;2022;63453;Diesel;181367;77400
Peugeot;5008;16799;2022;51257;hybride;50081308;95520
Peugeot;e-2008;18590;2021;125261;Diesel;136;Bonne affaire
Mercedes-Benz;GLC;26990;2020;64659;hybride;30094;35510
Audi;A3;31945;2022;33376;essence;452456;35510
Renault;Megane E Tech;26990;2018;120000;Diesel;40130;Super affaire
Renault;Arkana;19990;2024;17598;essence;14522;77170
Peugeot;e-2008;16990;2022;64140;essence;136;08000
Mercedes-Benz;Classe A;20990;2021;54424;Diesel;1801167;Bonne affaire
Dacia;Sandero;11750;2021;17146;Diesel;90;56850
Renault;Clio;15990;2019;55345;essence;140;44700
Renault;Captur;24990;2024;10883;essence;160;69200
Renault;Arkana;23890;2022;27101;essence;145;94170
Peugeot;308;19990;2022;70100;essence;121308;68110
Renault;Clio;18900;2024;6900;essence;145;41250
