marque,modele,prix,annee,kilometrage,energie,nombre chevaux,code postal,latitude,longitude,ville,région
Renault,Captur,17500,2022,42177,essence,145,21400.0,47.863953,4.584361,Châtillon-sur-Seine,Bourgogne-Franche-Comté
Renault,Captur,16490,2024,16194,Diesel,160,92000.0,48.898095,2.202314,Nanterre,Île-de-France
Renault,Captur,20690,2023,32568,essence,160,83170.0,43.396543,6.070997,Brignoles,Provence-Alpes-Côte d'Azur
Renault,Clio,27990,2022,23095,essence,90,77186.0,48.847293,2.623401,Noisiel,Île-de-France
Renault,Clio,21790,2022,42498,essence,90,44210.0,47.123874,-2.054329,Pornic,Pays de la Loire
Renault,Megane,22990,2023,9316,essence,160,6800.0,,,,
Renault,Clio,22990,2024,6981,essence,140,49000.0,47.467471,-0.561615,Angers,Pays de la Loire
Renault,Captur,19999,2022,36560,essence,155,6800.0,,,,
Peugeot,e-2008,13980,2023,13054,essence,136,56000.0,47.659971,-2.752192,Vannes,Bretagne
Renault,Arkana,21990,2022,81661,hybride,145,13008.0,43.247182,5.374045,Marseille 8e Arrondissement,
Peugeot,e-2008,18990,2021,62067,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Captur,23490,2024,25297,hybride,160,93500.0,48.900267,2.409457,Pantin,Île-de-France
Renault,Arkana,20490,2020,74295,hybride,145,4100.0,,,,
Renault,Captur,12490,2020,118715,Diesel,145,10200.0,48.232115,4.707135,Bar-sur-Aube,Grand Est
Renault,Megane,18490,2025,10000,essence,115,89100.0,48.191828,3.292827,Sens,Bourgogne-Franche-Comté
Renault,Arkana,20490,2022,38683,essence,145,13120.0,43.457301,5.48627,Gardanne,Provence-Alpes-Côte d'Azur
Renault,Megane,28990,2024,8000,essence,115,62140.0,50.371996,2.033863,Hesdin-la-Forêt,Hauts-de-France
Renault,Captur,18490,2020,25506,essence,130,92100.0,48.836953,2.242538,Boulogne-Billancourt,Île-de-France
Toyota,Yaris,20490,2023,37729,essence,100,92000.0,48.898095,2.202314,Nanterre,Île-de-France
Dacia,Sandero Stepway,26890,2021,69535,essence,90,89100.0,48.191828,3.292827,Sens,Bourgogne-Franche-Comté
Renault,Megane,23980,2021,87610,Diesel,115,28630.0,48.424752,1.499279,Le Coudray,Centre-Val de Loire
Renault,Megane,21990,2021,60021,essence,160,37170.0,47.332303,0.717976,Chambray-lès-Tours,Centre-Val de Loire
Renault,Captur,91900,2020,109553,essence,145,52000.0,48.104307,5.129976,Chaumont,Île-de-France
Renault,Clio,23450,2021,39042,Diesel,140,59640.0,51.021459,2.337147,Dunkerque,Hauts-de-France
Renault,Clio,20990,2019,69187,essence,145,13400.0,43.301892,5.563888,Aubagne,Provence-Alpes-Côte d'Azur
Nissan,Qashqai,34990,2024,20,essence,190,44400.0,47.17269,-1.552789,Rezé,Pays de la Loire
Renault,Arkana,37248,2020,77169,essence,140,62200.0,50.726334,1.6106,Boulogne-sur-Mer,Hauts-de-France
Renault,Captur,36390,2023,37159,essence,145,78000.0,48.803019,2.131319,Versailles,Île-de-France
Renault,Clio,34800,2024,16500,Diesel,145,47000.0,44.202304,0.631041,Agen,Nouvelle-Aquitaine
Renault,Arkana,31890,2022,17522,essence,160,49000.0,47.467471,-0.561615,Angers,Pays de la Loire
Nissan,Qashqai,27991,2024,8000,essence,190,91170.0,48.666246,2.374662,Viry-Châtillon,Île-de-France
Renault,Clio,17990,2022,61543,essence,145,8200.0,,,,
